sample,dir,fq1,fq2
amp_TEAD1_b,/project/gzy8899/data/20260313_LH00315_0565_A23FM2TLT3_ROM-XY-PL-1s/,RO-XY-1s-RO-XY-55_S55_L008_R1_001.fastq.gz,RO-XY-1s-RO-XY-55_S55_L008_R2_001.fastq.gz
amp_NFIL3_b,/project/gzy8899/data/20260313_LH00315_0565_A23FM2TLT3_ROM-XY-PL-1s/,RO-XY-1s-RO-XY-54_S54_L008_R1_001.fastq.gz,RO-XY-1s-RO-XY-54_S54_L008_R2_001.fastq.gz
MYNN,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-MYNN_S27_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-MYNN_S27_L004_R2_001.fastq.gz
ampMECP02,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-MECP02_S30_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-MECP02_S30_L004_R2_001.fastq.gz
MECP02,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-DAP-MECP02_S31_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-DAP-MECP02_S31_L004_R2_001.fastq.gz
TP53,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-TP53_S22_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-TP53_S22_L004_R2_001.fastq.gz
TGIF2,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-TGIF2LX_S12_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-TGIF2LX_S12_L004_R2_001.fastq.gz
RFX02,/project/gzy8899/data/202512_2_Uchicago_DAP_human_brachy_clogmia/,RO-XY-1s-AMP-DAP-Human-RFX02_S38_L001_R1_001.fastq.gz,RO-XY-1s-AMP-DAP-Human-RFX02_S38_L001_R2_001.fastq.gz
NFATC03,/project/gzy8899/data/202512_2_Uchicago_DAP_human_brachy_clogmia/,RO-XY-1s-AMP-DAP-Human-NFATC03_S40_L001_R1_001.fastq.gz,RO-XY-1s-AMP-DAP-Human-NFATC03_S40_L001_R2_001.fastq.gz
TFAP2A,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-TFAP2A_S20_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-TFAP2A_S20_L004_R2_001.fastq.gz
TEAD01,/project/gzy8899/data/202512_2_Uchicago_DAP_human_brachy_clogmia/,RO-XY-1s-AMP-DAP-Human-TEAD01_S48_L001_R1_001.fastq.gz,RO-XY-1s-AMP-DAP-Human-TEAD01_S48_L001_R2_001.fastq.gz
NFIL03,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-NFIL03_S24_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-NFIL03_S24_L004_R2_001.fastq.gz
MKRN03,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-MKRN03_S13_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-MKRN03_S13_L004_R2_001.fastq.gz
TEAD1_a,/project/gzy8899/data/20260313_LH00315_0565_A23FM2TLT3_ROM-XY-PL-1s/,RO-XY-1s-RO-XY-47_S47_L008_R1_001.fastq.gz,RO-XY-1s-RO-XY-47_S47_L008_R2_001.fastq.gz
MKRN03,/project/gzy8899/data/20260313_LH00315_0565_A23FM2TLT3_ROM-XY-PL-1s/,RO-XY-1s-RO-XY-52_S52_L008_R1_001.fastq.gz,RO-XY-1s-RO-XY-52_S52_L008_R2_001.fastq.gz
TGIF2LX,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-TGIF2LX_S12_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-TGIF2LX_S12_L004_R2_001.fastq.gz
CXXC1,/project/gzy8899/data/202512_UChicago_DAP/,RO-GY-2s-pl2-PL-Human-ampDAP-CXXC01_S14_L004_R1_001.fastq.gz,RO-GY-2s-pl2-PL-Human-ampDAP-CXXC01_S14_L004_R2_001.fastq.gz

